user_id,age,sex
138655,45_54,0.0
109365,18_24,0.0
133907,18_24,1.0
120539,18_24,1.0
87595,35_44,1.0
68874,55_64,1.0
84740,25_34,0.0
19909,35_44,1.0
45848,25_34,0.0
118347,18_24,0.0
109465,25_34,0.0
12527,18_24,0.0
129501,35_44,0.0
53641,35_44,1.0
16901,18_24,0.0
140882,25_34,0.0
126800,65_inf,1.0
129573,45_54,0.0
72674,65_inf,0.0
67169,55_64,1.0
37109,55_64,0.0
142754,25_34,0.0
62378,18_24,1.0
93830,55_64,0.0
61903,55_64,0.0
76657,55_64,0.0
102803,45_54,1.0
56671,35_44,0.0
57042,55_64,1.0
127632,45_54,0.0
148741,18_24,0.0
31806,45_54,0.0
4592,55_64,0.0
77960,18_24,1.0
41747,55_64,0.0
127821,18_24,0.0
155174,18_24,1.0
66853,18_24,1.0
159415,25_34,0.0
115677,18_24,0.0
134665,18_24,1.0
84447,35_44,1.0
121886,18_24,0.0
134170,25_34,0.0
36849,25_34,1.0
129235,65_inf,0.0
76523,25_34,0.0
63783,18_24,0.0
20725,35_44,1.0
39697,45_54,0.0
6618,65_inf,0.0
105827,18_24,0.0
17935,25_34,0.0
54585,18_24,0.0
140235,18_24,1.0
55031,55_64,0.0
100867,35_44,1.0
38968,18_24,0.0
115824,25_34,0.0
122233,35_44,0.0
27063,65_inf,1.0
9839,18_24,0.0
63410,18_24,1.0
40601,18_24,1.0
156046,35_44,0.0
30454,25_34,0.0
43837,18_24,0.0
100651,25_34,1.0
149262,35_44,0.0
62890,35_44,0.0
60459,25_34,1.0
37715,55_64,0.0
157553,18_24,0.0
21339,25_34,1.0
150818,18_24,0.0
38817,18_24,0.0
151622,18_24,0.0
21155,35_44,0.0
82856,45_54,0.0
127830,35_44,0.0
158436,25_34,0.0
59995,25_34,0.0
147857,25_34,1.0
137507,18_24,0.0
142803,18_24,0.0
96179,18_24,0.0
15866,35_44,0.0
106263,45_54,0.0
134000,35_44,1.0
92478,25_34,1.0
126813,18_24,0.0
143010,65_inf,1.0
102692,18_24,0.0
118492,18_24,1.0
129902,25_34,0.0
44737,18_24,0.0
120105,35_44,0.0
119087,35_44,0.0
40147,25_34,0.0
99492,18_24,1.0
158209,25_34,0.0
43729,45_54,0.0
110398,18_24,0.0
103431,35_44,0.0
128734,25_34,1.0
110969,35_44,0.0
156336,35_44,0.0
96237,45_54,0.0
48469,18_24,0.0
6541,18_24,0.0
117351,55_64,0.0
129167,18_24,0.0
159406,65_inf,1.0
86849,18_24,1.0
106643,25_34,0.0
111979,18_24,1.0
141623,55_64,0.0
90980,25_34,0.0
76497,18_24,0.0
43696,35_44,0.0
25877,55_64,0.0
74076,45_54,0.0
12677,25_34,1.0
18656,45_54,1.0
2554,35_44,0.0
103887,18_24,0.0
82587,18_24,0.0
2183,25_34,1.0
16389,35_44,0.0
59450,45_54,0.0
146272,18_24,0.0
5103,65_inf,1.0
159600,55_64,0.0
89843,65_inf,0.0
101461,25_34,1.0
101925,18_24,1.0
104324,18_24,1.0
33237,18_24,0.0
6074,25_34,1.0
117335,25_34,0.0
42747,18_24,0.0
96208,18_24,1.0
106359,35_44,0.0
101916,55_64,1.0
36946,18_24,0.0
106192,35_44,1.0
42913,35_44,1.0
7310,25_34,0.0
140750,18_24,0.0
39959,45_54,1.0
26212,25_34,1.0
107736,18_24,0.0
138970,35_44,0.0
48773,18_24,0.0
97455,65_inf,0.0
46055,65_inf,0.0
38664,35_44,0.0
118607,55_64,0.0
85909,55_64,0.0
85995,18_24,1.0
103711,25_34,0.0
47745,35_44,0.0
131279,18_24,0.0
89179,18_24,1.0
56184,18_24,0.0
6386,65_inf,0.0
125586,45_54,0.0
38468,35_44,0.0
155089,25_34,0.0
97350,35_44,1.0
23860,65_inf,1.0
156348,18_24,0.0
49804,55_64,0.0
17825,25_34,0.0
112426,18_24,1.0
149326,18_24,1.0
9671,18_24,1.0
65112,18_24,1.0
133842,65_inf,0.0
107759,35_44,0.0
79874,65_inf,1.0
52895,18_24,0.0
146570,45_54,0.0
148112,65_inf,0.0
32751,18_24,1.0
156658,25_34,0.0
89861,55_64,0.0
116156,18_24,0.0
35957,25_34,0.0
14126,35_44,0.0
148873,18_24,0.0
129754,35_44,1.0
3515,45_54,0.0
152541,25_34,1.0
120918,45_54,0.0
36968,18_24,1.0
33398,18_24,0.0
72373,25_34,0.0
159518,35_44,0.0
103172,25_34,1.0
111101,35_44,0.0
46557,18_24,0.0
118548,18_24,1.0
147701,18_24,0.0
143930,18_24,0.0
130138,18_24,0.0
14127,18_24,0.0
154796,35_44,1.0
113811,18_24,1.0
32226,45_54,0.0
46087,25_34,0.0
129088,18_24,0.0
78044,18_24,1.0
101863,25_34,1.0
138194,35_44,0.0
26835,55_64,0.0
42685,18_24,0.0
29354,18_24,0.0
43702,25_34,0.0
8767,18_24,0.0
120664,25_34,1.0
11946,45_54,1.0
121173,18_24,0.0
8422,18_24,0.0
130418,55_64,0.0
74613,55_64,1.0
51324,55_64,0.0
153297,55_64,1.0
48596,18_24,1.0
66408,18_24,0.0
99245,25_34,0.0
27050,55_64,0.0
143387,25_34,1.0
45189,18_24,0.0
85778,65_inf,0.0
10389,55_64,0.0
16475,18_24,0.0
151087,18_24,0.0
17374,55_64,1.0
84067,25_34,0.0
129854,55_64,0.0
41069,55_64,0.0
145264,18_24,0.0
39941,18_24,0.0
102283,45_54,0.0
79812,18_24,0.0
120289,25_34,0.0
81732,45_54,0.0
134671,18_24,0.0
112961,18_24,0.0
100092,25_34,1.0
115097,65_inf,0.0
18277,55_64,1.0
10214,25_34,0.0
159195,18_24,0.0
126249,18_24,0.0
129772,65_inf,1.0
15592,35_44,0.0
2911,25_34,1.0
54052,18_24,0.0
65601,18_24,0.0
27252,18_24,0.0
76328,18_24,1.0
52191,45_54,0.0
116870,45_54,1.0
8088,18_24,0.0
56114,65_inf,0.0
103286,18_24,0.0
128051,35_44,0.0
135307,18_24,0.0
67820,55_64,0.0
33912,35_44,0.0
67264,25_34,0.0
49162,18_24,0.0
26993,45_54,1.0
22114,18_24,1.0
47535,18_24,1.0
77505,18_24,1.0
74089,18_24,0.0
127001,25_34,0.0
75357,25_34,0.0
148257,18_24,0.0
21857,45_54,0.0
63272,25_34,1.0
83002,18_24,0.0
158540,18_24,0.0
117754,18_24,0.0
135107,35_44,0.0
12956,18_24,0.0
87809,65_inf,0.0
97257,45_54,0.0
26429,18_24,0.0
35694,25_34,0.0
10142,18_24,1.0
57141,65_inf,0.0
131494,35_44,0.0
22611,18_24,0.0
52453,35_44,0.0
